% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_allhours.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 28 2023, 13:58"
% Table,Probe Table 1 - 
% Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
16136.47269919065,2672.9999999999995,2672.086335945154,2669.67136090147,2672.6085981725423,2667.119392983538,4.895396221031695
16316.47269919065,2672.9999999999995,2672.1360955880195,2669.8527756655244,2672.6306261467007,2667.4211663035303,4.895396221031695
16496.47269919065,2672.9999999999995,2672.1831866990133,2670.0244200363713,2672.6514318082804,2667.7077600785547,4.895396221031689
16676.47269919065,2672.9999999999995,2672.227735617337,2670.186757653414,2672.6710752436898,2667.9798345700515,4.895396221031684
16856.47269919065,2672.9999999999995,2672.269874774664,2670.340278723185,2672.6896185482124,2668.238095225996,4.895396221031687
17036.47269919065,2672.9999999999995,2672.3097323885036,2670.485457659607,2672.7071238666445,2668.4832297297226,4.895396221031693
17216.47269919065,2672.9999999999995,2672.3474334113607,2670.622745152332,2672.7236491150175,2668.715895433438,4.895396221031701
17396.47269919065,2672.9999999999995,2672.383095413782,2670.7525682808327,2672.739248221071,2668.9367175891816,4.895396221031689
17576.47269919065,2672.9999999999995,2672.4168234731183,2670.875331669823,2672.7539732815885,2669.1462908357994,4.895396221031701
17756.47269919065,2672.9999999999995,2672.4483589302176,2670.9900819816385,2672.7677082424816,2669.3430440626594,4.895396221031701
17936.47269919065,2672.9999999999995,2672.478475014691,2671.0996420419997,2672.780803662148,2669.531445557149,4.895396221031693
18116.47269919065,2672.9999999999995,2672.507018628706,2671.2034629206646,2672.7931926709666,2669.7105844487946,4.895396221031698
18296.47269919065,2672.9999999999995,2672.534027886724,2671.3016801365884,2672.8048935066968,2669.880647394224,4.895396221031695
18476.47269919065,2672.9999999999995,2672.5595764582035,2671.394560387834,2672.81594015481,2670.042033124094,4.895396221031697
18656.47269919065,2672.9999999999995,2672.58373930874,2671.4823852999575,2672.8263675901444,2670.195167010807,4.8953962210316995
18836.47269919065,2672.9999999999995,2672.6065909593067,2671.565427536381,2672.836210429834,2670.3404633708897,4.895396221031693
19016.47269919065,2672.9999999999995,2672.6282037089427,2671.643946201054,2672.8455013651787,2670.478318086064,4.895396221031687
19196.47269919065,2672.9999999999995,2672.648643339611,2671.718186743971,2672.8542713954052,2670.609107531551,4.895396221031693
19376.47269919065,2672.9999999999995,2672.6679724582405,2671.788381419347,2672.862549681512,2670.7331893405967,4.895396221031701
19556.47269919065,2672.9999999999995,2672.6862526456844,2671.854749906427,2672.8703634773533,2670.8509035540637,4.895396221031695
19736.47269919065,2672.9999999999995,2672.7035403304303,2671.91750012016,2672.87773930196,2670.9625731804003,4.895396221031687
19916.47269919065,2672.9999999999995,2672.7198883486967,2671.9768285127525,2672.8847016162226,2671.068504912755,4.895396221031687
20096.47269919065,2672.9999999999995,2672.7353481727882,2672.0329210143855,2672.8912730839206,2671.1689902273706,4.895396221031698
20276.47269919065,2672.9999999999995,2672.749968344732,2672.0859536352896,2672.897475903434,2671.264306106655,4.895396221031695
20456.47269919065,2672.9999999999995,2672.7637933008405,2672.136092638263,2672.903330823031,2671.3547154993394,4.895396221031695
20636.47269919065,2672.9999999999995,2672.776866581891,2672.183495202676,2672.9088569369214,2671.440468055191,4.895396221031689
20816.47269919065,2672.9999999999995,2672.789228960482,2672.228310347642,2672.9140728759876,2671.5218010610124,4.895396221031687
20996.47269919065,2672.9999999999995,2672.8009185543997,2672.270678863986,2672.9189962955156,2671.598939929099,4.895396221031701
21176.47269919065,2672.9999999999995,2672.8119726748755,2672.3107337011124,2672.9236435951184,2671.6720985894694,4.895396221031689
21356.47269919065,2672.9999999999995,2672.8223049179455,2672.3481633873002,2672.927977673886,2671.7407248439317,4.895396221031698
21536.47269919065,2672.9999999999995,2672.8321694084257,2672.383893301004,2672.9321094991506,2671.8064018642103,4.895396221031704
21716.47269919065,2672.9999999999995,2672.841516844412,2672.4177438783204,2672.936017979421,2671.868809860945,4.895396221031701
21896.47269919065,2672.9999999999995,2672.850359503961,2672.4497599985207,2672.939708777083,2671.928016854002,4.895396221031693
22076.47269919065,2672.9999999999995,2672.858721516624,2672.480029460356,2672.9431928856293,2671.9841658588507,4.895396221031687
22256.47269919065,2672.9999999999995,2672.866628377413,2672.5086447863396,2672.9464815991864,2672.0374091295007,4.895396221031701
22436.47269919065,2672.9999999999995,2672.8741045841643,2672.5356955822326,2672.9495856060844,2672.087894621449,4.895396221031703
22616.47269919065,2672.9999999999995,2672.8811731009373,2672.561267060299,2672.9525152125634,2672.1357636060943,4.895396221031704
22796.47269919065,2672.9999999999995,2672.887856451636,2672.5854397581415,2672.9552801594077,2672.1811503941535,4.895396221031691
22976.47269919065,2672.9999999999995,2672.89417549305,2672.6082899545077,2672.957889786239,2672.224182436576,4.895396221031693
23156.47269919065,2672.9999999999995,2672.900149497838,2672.629889798475,2672.9603527360164,2672.264980672553,4.895396221031705
23336.47269919065,2672.9999999999995,2672.905797749409,2672.650307444177,2672.9626772634942,2672.3036599866773,4.895396221031691
23516.47269919065,2672.9999999999995,2672.9111380700997,2672.6696074094352,2672.9648712177864,2672.3403294250425,4.895396221031689
23696.47269919065,2672.9999999999995,2672.916187027535,2672.687850744012,2672.9669420822866,2672.375092422906,4.895396221031689
23876.47269919065,2672.9999999999995,2672.920960741588,2672.705095070375,2672.9688966463314,2672.4080471888865,4.895396221031695
24056.47269919065,2672.9999999999995,2672.9254736117473,2672.7213949008624,2672.970741089641,2672.439286963351,4.895396221031698
24236.47269919065,2672.9999999999995,2672.929690514353,2672.7366232640625,2672.9724610609455,2672.4685748432044,4.895396221031695
24416.47269919065,2672.9999999999995,2672.9337159091788,2672.7511580072623,2672.974100574403,2672.4965935645596,4.8953962210316915
24596.47269919065,2672.9999999999995,2672.9375298067644,2672.764926039324,2672.9756514847886,2672.52320612572,4.895396221031693
24776.47269919065,2672.9999999999995,2672.9411372947925,2672.7779457856477,2672.9771160556843,2672.5484424566416,4.895396221031689
24956.47269919065,2672.9999999999995,2672.944548046432,2672.7902531242767,2672.9784984174626,2672.572364657048,4.895396221031689
25136.47269919065,2672.9999999999995,2672.9477726021746,2672.801885967177,2672.979803165203,2672.5950388063907,4.895396221031689
25316.47269919065,2672.9999999999995,2672.9508207655354,2672.8128809720524,2672.9810344217,2672.6165291108805,4.895396221031684
25496.47269919065,2672.9999999999995,2672.9537022366544,2672.82327293759,2672.982196414966,2672.636896770869,4.895396221031693
25676.47269919065,2672.9999999999995,2672.956426173412,2672.833094821633,2672.9832930229163,2672.656199909308,4.895396221031697
25856.47269919065,2672.9999999999995,2672.959000825239,2672.8423778197616,2672.9843277614805,2672.674493707662,4.895396221031691
26036.47269919065,2672.9999999999995,2672.9614068222163,2672.851049537033,2672.985292905027,2672.69163909993,4.895396221031685
26216.47269919065,2672.9999999999995,2672.963703303096,2672.859325614781,2672.9862128544087,2672.7080380953603,4.895396221031687
26396.47269919065,2672.9999999999995,2672.965878970082,2672.867164402221,2672.9870831261596,2672.723610302139,4.895396221031698
26576.47269919065,2672.9999999999995,2672.9679364017848,2672.8745764067808,2672.9879047046647,2672.738373534189,4.895396221031703
26756.47269919065,2672.9999999999995,2672.9698812017436,2672.881582153453,2672.988680042325,2672.752364512349,4.895396221031701
26936.47269919065,2672.9999999999995,2672.9717196932993,2672.8882033123223,2672.989411908138,2672.765622272181,4.895396221031693
27116.47269919065,2672.9999999999995,2672.973457406253,2672.8944607923677,2672.990102448164,2672.778184730502,4.895396221031678
27296.47269919065,2672.9999999999995,2672.975099960456,2672.9003744970087,2672.990754155648,2672.7900880208026,4.895396221031678
27476.47269919065,2672.9999999999995,2672.9766525678297,2672.905963264706,2672.991369231757,2672.8013664413993,4.895396221031689
27656.47269919065,2672.9999999999995,2672.978120217863,2672.9112448908622,2672.991949683408,2672.812052551693,4.895396221031695
27836.47269919065,2672.9999999999995,2672.9795075949537,2672.9162362137527,2672.9924975286817,2672.822177235086,4.895396221031705
28016.47269919065,2672.9999999999995,2672.980818836565,2672.920953146814,2672.993014480937,2672.831769760932,4.895396221031697
28196.47269919065,2672.9999999999995,2672.9820580238875,2672.925410716583,2672.993502211142,2672.8408578887784,4.895396221031691
28376.47269919065,2672.9999999999995,2672.983229262654,2672.929623151535,2672.9939625109723,2672.8494679540663,4.895396221031693
28556.47269919065,2672.9999999999995,2672.9843362915026,2672.933603899042,2672.9943968776743,2672.8576249190432,4.895396221031691
28736.47269919065,2672.9999999999995,2672.9853825501114,2672.9373656626963,2672.994806747391,2672.8653524427673,4.8953962210316915
28916.47269919065,2672.9999999999995,2672.9863717360004,2672.9409204687163,2672.995193686221,2672.8726729792706,4.895396221031703
29096.47269919065,2672.9999999999995,2672.98729558064,2672.9442405417294,2672.995554363023,2672.8795306738484,4.8953962210316915
29276.47269919065,2672.9999999999995,2672.9881772290373,2672.947408725828,2672.995898115938,2672.886087737272,4.895396221031684
29456.47269919065,2672.9999999999995,2672.9890120966925,2672.950409027557,2672.9962230904903,2672.892311888639,4.895396221031689
29636.47269919065,2672.9999999999995,2672.9898016484317,2672.953245534379,2672.9965299813057,2672.898210433101,4.895396221031695
29816.47269919065,2672.9999999999995,2672.990548206359,2672.955926158925,2672.996819733088,2672.903798289704,4.8953962210316915
29996.47269919065,2672.9999999999995,2672.9912536870393,2672.9584592195056,2672.997093104612,2672.9090912840798,4.895396221031701
30176.47269919065,2672.9999999999995,2672.9919208011047,2672.9608528023214,2672.997351322678,2672.9141047914236,4.895396221031695
30356.47269919065,2672.9999999999995,2672.9925437034426,2672.963088156271,2672.997591817928,2672.918800481573,4.895396221031689
30536.47269919065,2672.9999999999995,2672.9931381634315,2672.965221138994,2672.9978210485706,2672.923289784538,4.895396221031693
30716.47269919065,2672.9999999999995,2672.993700810283,2672.967240969347,2672.9980376788053,2672.9275505655564,4.895396221031693
30896.47269919065,2672.9999999999995,2672.9942329132477,2672.969150416384,2672.998242298382,2672.9315878701204,4.895396221031695
31076.47269919065,2672.9999999999995,2672.9947362091325,2672.9709548360174,2672.9984356750438,2672.935411972828,4.895396221031695
31256.47269919065,2672.9999999999995,2672.9952116377717,2672.972659823628,2672.998618008956,2672.939033769167,4.895396221031697
31436.47269919065,2672.9999999999995,2672.995661163967,2672.9742708298977,2672.9987901401955,2672.942463839977,4.895396221031695
31616.47269919065,2672.9999999999995,2672.996085640594,2672.9757929953034,2672.998952405641,2672.9457122545314,4.895396221031689
31796.47269919065,2672.9999999999995,2672.996482171324,2672.9772144242916,2672.999103719535,2672.948754149259,4.895396221031698
31976.47269919065,2672.9999999999995,2672.9968604641426,2672.978570680116,2672.9992478877843,2672.951661969261,4.895396221031698
32156.47269919065,2672.9999999999995,2672.997218728051,2672.9798549184034,2672.9993842227414,2672.9544213542345,4.895396221031708
32336.47269919065,2672.9999999999995,2672.997557485792,2672.981068903124,2672.999513005691,2672.9570356003815,4.895396221031705
32516.47269919065,2672.9999999999995,2672.9978774600686,2672.9822160241147,2672.999634494445,2672.9595114019507,4.895396221031689
32696.47269919065,2672.9999999999995,2672.998180051383,2672.9832998647844,2672.9997492750954,2672.961855862691,4.895396221031695
32876.47269919065,2672.9999999999995,2672.9984658155868,2672.9843238883486,2672.999857551178,2672.964075867607,4.895396221031695
