% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"May 31 2024, 18:43"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K)
626,1027.234441795532,1006.3298439196294
627,1027.16310782319,1006.2554512322338
628,1027.0917738508488,1006.1810585448386
629,1027.0204398785065,1006.1066658574431
630,1026.949105906165,1006.0322731700485
631,1026.8777719338227,1005.9578804826531
632,1026.8064379614814,1005.8834877952577
633,1026.7351039891382,1005.8090951078635
634,1026.6637700167971,1005.7347024204673
635,1026.5924360444553,1005.6603097330723
636,1026.5211020721126,1005.5859170456765
637,1026.4497680997713,1005.5115243582819
638,1026.378434127429,1005.4371316708863
639,1026.3071001550873,1005.3627389834917
640,1026.2357661827455,1005.2883462960964
641,1026.164432210404,1005.213953608701
642,1026.093098238062,1005.1395609213059
643,1026.0217642657199,1005.0651682339102
644,1025.9504302933783,1004.9907755465146
645,1025.879096321036,1004.9163828591203
646,1025.807762348695,1004.8419901717248
647,1025.7364283763525,1004.7675974843298
648,1025.665094404011,1004.6932047969349
649,1025.5937604316687,1004.6188121095391
650,1025.5224264593267,1004.5444194221437
651,1025.4510924869853,1004.470026734749
652,1025.379758514643,1004.3956340473536
653,1025.3084245423015,1004.3212413599583
654,1025.2370905699593,1004.2468486725627
655,1025.1657565976172,1004.1724559851677
656,1025.0944226252755,1004.0980632977731
657,1025.0230886529337,1004.0236706103772
658,1024.951754680592,1003.9492779229814
659,1024.8804207082503,1003.8748852355867
660,1024.809086735908,1003.800492548192
661,1024.737752763566,1003.7260998607973
662,1024.6664187912245,1003.6517071734019
663,1024.5950848188825,1003.5773144860062
664,1024.5237508465407,1003.5029217986104
665,1024.4524168741984,1003.4285291112152
666,1024.3810829018569,1003.3541364238203
667,1024.3097489295158,1003.2797437364259
668,1024.238414957173,1003.2053510490305
669,1024.1670809848317,1003.1309583616347
670,1024.0957470124897,1003.0565656742403
671,1024.0244130401477,1002.9821729868447
672,1023.9530790678057,1002.9077802994499
673,1023.8817450954639,1002.8333876120537
674,1023.8104111231219,1002.758994924659
675,1023.7390771507797,1002.684602237264
676,1023.6677431784375,1002.6102095498685
677,1023.5964092060964,1002.5358168624732
678,1023.5250752337543,1002.4614241750778
679,1023.4537412614123,1002.3870314876826
680,1023.3824072890708,1002.3126388002878
681,1023.3110733167289,1002.2382461128924
682,1023.2397393443865,1002.163853425497
683,1023.168405372045,1002.0894607381017
684,1023.0970713997027,1002.0150680507065
