% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 11:32"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),"Temperature (K), Point: 51"
369,1048.6412168716386,1025.8531823724786,1055.4923132727893
370,1048.5821169962687,1025.7784943844897,1055.4302561050754
371,1048.5230171208989,1025.7038063964997,1055.3681989373617
372,1048.4639172455288,1025.6291184085092,1055.306141769648
373,1048.4048173701597,1025.5544304205187,1055.2440846019344
374,1048.3457174947898,1025.479742432529,1055.1820274342208
375,1048.28661761942,1025.4050544445388,1055.119970266507
376,1048.2275177440504,1025.3303664565494,1055.0579130987933
377,1048.1684178686805,1025.2556784685598,1054.9958559310796
378,1048.1093179933107,1025.1809904805689,1054.9337987633658
379,1048.0502181179406,1025.106302492579,1054.871741595652
380,1047.9911182425706,1025.0316145045892,1054.8096844279385
381,1047.9320183672014,1024.9569265165997,1054.7476272602246
382,1047.8729184918313,1024.8822385286094,1054.685570092511
383,1047.8138186164617,1024.807550540619,1054.6235129247973
384,1047.754718741092,1024.7328625526293,1054.5614557570836
385,1047.6956188657225,1024.6581745646386,1054.4993985893698
386,1047.6365189903527,1024.5834865766492,1054.4373414216561
387,1047.5774191149828,1024.5087985886591,1054.3752842539425
388,1047.5183192396128,1024.4341106006693,1054.3132270862288
389,1047.4592193642434,1024.3594226126795,1054.251169918515
390,1047.4001194888733,1024.2847346246888,1054.1891127508013
391,1047.3410196135037,1024.210046636699,1054.1270555830874
392,1047.2819197381339,1024.1353586487094,1054.0649984153738
393,1047.222819862764,1024.0606706607198,1054.0029412476601
394,1047.1637199873946,1023.9859826727285,1053.9408840799465
395,1047.1046201120246,1023.911294684739,1053.8788269122329
396,1047.0455202366554,1023.8366066967488,1053.816769744519
397,1046.9864203612851,1023.7619187087593,1053.7547125768053
398,1046.927320485915,1023.687230720769,1053.6926554090917
399,1046.8682206105457,1023.6125427327788,1053.6305982413778
400,1046.8091207351756,1023.5378547447893,1053.5685410736642
401,1046.7500208598062,1023.4631667567991,1053.5064839059503
402,1046.6909209844362,1023.3884787688088,1053.4444267382366
403,1046.6318211090665,1023.3137907808191,1053.382369570523
404,1046.5727212336972,1023.2391027928289,1053.3203124028093
405,1046.5136213583269,1023.1644148048389,1053.2582552350957
406,1046.4545214829575,1023.0897268168487,1053.196198067382
407,1046.3954216075877,1023.0150388288592,1053.1341408996682
408,1046.3363217322178,1022.940350840869,1053.0720837319545
409,1046.277221856848,1022.8656628528792,1053.0100265642407
410,1046.2181219814786,1022.7909748648896,1052.947969396527
411,1046.1590221061085,1022.7162868768995,1052.8859122288134
412,1046.099922230739,1022.6415988889091,1052.8238550610995
413,1046.0408223553686,1022.5669109009194,1052.7617978933858
414,1045.981722479999,1022.4922229129294,1052.6997407256722
415,1045.9226226046296,1022.4175349249391,1052.6376835579586
416,1045.8635227292593,1022.3428469369495,1052.575626390245
417,1045.8044228538895,1022.2681589489595,1052.513569222531
418,1045.7453229785203,1022.1934709609699,1052.4515120548174
419,1045.68622310315,1022.1187829729801,1052.3894548871037
420,1045.6271232277802,1022.0440949849904,1052.3273977193899
421,1045.5680233524106,1021.9694069969992,1052.2653405516762
422,1045.508923477041,1021.8947190090103,1052.2032833839626
423,1045.449823601671,1021.8200310210194,1052.1412262162487
424,1045.3907237263015,1021.7453430330296,1052.079169048535
425,1045.3316238509312,1021.67065504504,1052.0171118808214
426,1045.2725239755619,1021.59596705705,1051.9550547131078
427,1045.2134241001927,1021.52127906906,1051.8929975453939
428,1045.1543242248222,1021.4465910810696,1051.8309403776802
429,1045.095224349452,1021.3719030930799,1051.7688832099666
430,1045.0361244740827,1021.2972151050894,1051.7068260422527
431,1044.9770245987127,1021.2225271170997,1051.644768874539
432,1044.9179247233433,1021.1478391291101,1051.5827117068254
433,1044.8588248479737,1021.0731511411199,1051.5206545391115
434,1044.7997249726038,1020.9984631531302,1051.458597371398
435,1044.7406250972338,1020.9237751651402,1051.3965402036843
436,1044.6815252218646,1020.8490871771493,1051.3344830359706
437,1044.622425346494,1020.7743991891597,1051.272425868257
438,1044.5633254711247,1020.6997112011708,1051.210368700543
439,1044.5042255957549,1020.6250232131789,1051.1483115328294
440,1044.4451257203855,1020.5503352251899,1051.0862543651156
441,1044.3860258450154,1020.4756472371996,1051.024197197402
442,1044.3269259696456,1020.4009592492092,1050.9621400296883
443,1044.2678260942764,1020.3262712612197,1050.9000828619746
444,1044.208726218906,1020.2515832732297,1050.8380256942608
445,1044.1496263435365,1020.1768952852397,1050.775968526547
446,1044.0905264681662,1020.1022072972501,1050.7139113588335
