% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 2 2023, 10:41"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),base_flowrate_factor,max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate","P_out (W), P_out"
4,10,10,8157.6,2673.0000000000014,2653.7409113635636,2645.073379728785,2672.999999999996,2653.7367788979595,2673.0000000000023,2653.732753966139,2642.2790929687344,2638.5446015369885,2609.343540873911,155.83333333333354,-732604.9183597817
4,10,10,8164.8,2673.0000000000014,2653.7816584009042,2645.1432251408996,2672.999999999996,2653.7775037822466,2673.0000000000023,2653.77351346871,2642.3541353834044,2638.6260885950887,2609.4682626955287,155.83333333333363,-731055.1062072883
4,10,10,8172,2673.0000000000014,2653.822530352008,2645.212892840686,2672.999999999996,2653.8183357774956,2673.0000000000023,2653.8143325892265,2642.4289938159964,2638.707383112201,2609.5927525023603,155.83333333333363,-729503.0271812716
4,10,10,8179.2,2673.0000000000014,2653.863924369039,2645.282383874909,2672.999999999996,2653.859656620682,2673.0000000000023,2653.8555492521214,2642.503669230149,2638.788482536072,2609.7170103146486,155.83333333333366,-727935.8322692378
4,10,10,8186.400000000001,2673.0000000000014,2653.9053127479083,2645.351700815427,2672.999999999996,2653.901074658832,2673.0000000000023,2653.8969670563615,2642.5781614007856,2638.8693884151744,2609.8410369294606,155.83333333333366,-726360.9892926799
4,10,10,8193.6,2673.0000000000014,2653.946057103421,2645.420841595726,2672.999999999996,2653.94193798189,2673.0000000000023,2653.9379557261395,2642.6524696034176,2638.95010632163,2609.9648296008854,155.83333333333366,-724802.4634389249
4,10,10,8200.800000000001,2673.0000000000014,2653.986293883205,2645.4898080401554,2672.999999999996,2653.982200769721,2673.0000000000023,2653.9783157204524,2642.726595738406,2639.030634309603,2610.088386763179,155.83333333333354,-723267.8419215751
4,10,10,8208,2673.0000000000014,2654.0263352908473,2645.5586016610273,2672.999999999996,2654.0222108391085,2673.0000000000023,2654.018322539089,2642.8005398528585,2639.1109719100514,2610.2117116781724,155.83333333333357,-721746.6493211675
4,10,10,8215.2,2673.0000000000014,2654.0666748520657,2645.627220490466,2672.999999999996,2654.062499955521,2673.0000000000023,2654.0584957570168,2642.874303444631,2639.1911167444755,2610.3348076136667,155.83333333333357,-720219.1296649224
4,10,10,8222.4,2673.0000000000014,2654.107544384756,2645.695666184249,2672.999999999996,2654.1033132093544,2673.0000000000023,2654.0991904624816,2642.947886130317,2639.2710710916035,2610.4576743475513,155.83333333333354,-718671.7813138547
