% Model,LargeGraphiteBlockCharge_v3_rad_spacing_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 22 2023, 18:24"
% Table,Accumulated Probe Table 24 - 
% hours (h),rad_spac (m),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1,"Temperature (K), G_block"
5,0.02,12330,2672.9999999999995,2284.88835572235,2508.137248948287,2533.3278297380884,2247.181314916531,0.24229738871773054,5.233893360880596E8,2530.327888839472
5,0.02,12420,2672.9999999999995,2287.321491166421,2510.1328047247125,2535.1569760334814,2249.1314890260937,0.2422973887177306,5.233893360880596E8,2532.175784073234
5,0.02,12510,2672.9999999999995,2289.7707922178633,2512.1159389477443,2536.972894686521,2251.1076641350674,0.24229738871773046,5.233893360880596E8,2534.010626513987
5,0.02,12600,2672.9999999999995,2292.2363693770594,2514.0862565636794,2538.775361195141,2253.1109334449084,0.24229738871773088,5.233893360880596E8,2535.832152503171
5,0.02,12690,2672.9999999999995,2294.731216240845,2516.042063827471,2540.5591908527927,2255.142629263382,0.24229738871773066,5.233893360880596E8,2537.6352260990225
5,0.02,12780,2672.9999999999995,2297.2362406316947,2517.985541643838,2542.331776774806,2257.199752624977,0.24229738871773088,5.233893360880596E8,2539.4271877351207
5,0.02,12870,2672.9999999999995,2299.763167698672,2519.9149970702238,2544.08839818702,2259.284376626209,0.24229738871773068,5.233893360880596E8,2541.2033301145675
5,0.02,12960,2672.9999999999995,2302.290292076269,2521.834508343841,2545.837746941709,2261.389603472718,0.2422973887177304,5.233893360880596E8,2542.9722458825922
5,0.02,13050,2672.9999999999995,2304.835476831252,2523.739731650089,2547.5740354931904,2263.5239648645797,0.24229738871773063,5.233893360880596E8,2544.7282376522935
5,0.02,13140,2672.9999999999995,2307.3979870778853,2525.632118880334,2549.2970045248553,2265.6829277359043,0.24229738871773068,5.233893360880596E8,2546.4710198461416
5,0.02,13230,2672.9999999999995,2309.9794693678655,2527.5115740065544,2551.00600046932,2267.865807844745,0.2422973887177306,5.233893360880596E8,2548.1999722201704
5,0.02,13320,2672.9999999999995,2312.5663238179977,2529.380667087095,2552.7058168449903,2270.068175784065,0.24229738871773054,5.233893360880596E8,2549.9198074754677
5,0.02,13410,2672.9999999999995,2315.1787965286076,2531.234846381528,2554.389069619663,2272.2973647416998,0.24229738871773093,5.233893360880596E8,2551.6232534165583
5,0.02,13500,2672.9999999999995,2317.81250315909,2533.0754422115533,2556.05616967137,2274.549497340211,0.2422973887177302,5.233893360880596E8,2553.310695164208
5,0.02,13590,2672.9999999999995,2320.465568402319,2534.9023072708455,2557.7071863515835,2276.8243474682154,0.24229738871773068,5.233893360880596E8,2554.9822058186505
5,0.02,13680,2672.9999999999995,2323.1353726315747,2536.715290069087,2559.3423903804915,2279.1218561512164,0.24229738871773107,5.233893360880596E8,2556.638034005991
5,0.02,13770,2672.9999999999995,2325.8080302565986,2538.5172795556646,2560.9680477302427,2281.4380161140843,0.24229738871773088,5.233893360880596E8,2558.2843712792333
5,0.02,13860,2672.9999999999995,2328.5000582939347,2540.303469114229,2562.5761909809457,2283.779830370447,0.24229738871772996,5.233893360880596E8,2559.9133220918548
5,0.02,13950,2672.9999999999995,2331.207398854118,2542.0753831675097,2564.167943875451,2286.143418221215,0.24229738871773077,5.233893360880596E8,2561.525988968402
5,0.02,14040,2672.9999999999995,2333.937110902753,2543.8315815374267,2565.738804467588,2288.52907171867,0.24229738871773066,5.233893360880596E8,2563.1178966369785
5,0.02,14130,2672.9999999999995,2336.6660248193334,2545.576691948536,2567.301556368066,2290.9317256880454,0.24229738871773124,5.233893360880596E8,2564.7017675546
