% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 12:17"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),Temperature (K)
376,1048.9392319507986,1025.3959315919165,1059.8488122632075
377,1048.8811239502334,1025.3208887810565,1059.7917945490478
378,1048.823015949669,1025.2458459701952,1059.7347768348866
379,1048.7649079491043,1025.1708031593353,1059.677759120727
380,1048.70679994854,1025.0957603484742,1059.6207414065686
381,1048.6486919479753,1025.0207175376138,1059.5637236924094
382,1048.59058394741,1024.9456747267534,1059.5067059782489
383,1048.532475946846,1024.8706319158932,1059.4496882640906
384,1048.4743679462815,1024.7955891050326,1059.3926705499298
385,1048.4162599457168,1024.7205462941722,1059.3356528357697
386,1048.358151945153,1024.6455034833116,1059.2786351216103
387,1048.3000439445877,1024.5704606724503,1059.2216174074513
388,1048.2419359440232,1024.4954178615903,1059.1645996932907
389,1048.1838279434596,1024.4203750507297,1059.107581979131
390,1048.1257199428946,1024.3453322398702,1059.0505642649712
391,1048.06761194233,1024.270289429009,1058.993546550812
392,1048.0095039417652,1024.1952466181488,1058.9365288366532
393,1047.9513959412013,1024.1202038072881,1058.8795111224945
394,1047.8920512297316,1024.0439208146229,1058.8225617692399
395,1047.8323973405352,1023.967327776506,1058.7656295062122
396,1047.7727434513383,1023.8907347383887,1058.7086972431841
397,1047.713089562142,1023.8141417002721,1058.6517649801583
398,1047.6534356729462,1023.7375486621557,1058.5948327171302
399,1047.5937817837494,1023.6609556240388,1058.5379004541023
400,1047.5341278945534,1023.5843625859213,1058.4809681910751
401,1047.4744740053575,1023.5077695478053,1058.4240359280486
402,1047.4148201161613,1023.4311765096886,1058.3671036650212
403,1047.3551662269651,1023.3545834715715,1058.3101714019933
404,1047.2955123377687,1023.2779904334546,1058.253239138966
405,1047.2358584485726,1023.2013973953376,1058.196306875939
406,1047.1762045593764,1023.124804357221,1058.1393746129113
407,1047.11655067018,1023.0482113191043,1058.0824423498846
408,1047.0568967809834,1022.9716182809868,1058.0255100868555
409,1046.9972428917874,1022.8950252428705,1057.968577823829
410,1046.9375890025908,1022.818432204754,1057.9116455608028
411,1046.8779351133956,1022.7418391666363,1057.8547132977749
412,1046.8182812241985,1022.6652461285195,1057.797781034747
413,1046.7586273350028,1022.5886530904025,1057.7408487717205
414,1046.6989734458068,1022.5120600522871,1057.6839165086926
415,1046.6393195566095,1022.4354670141695,1057.6269842456659
416,1046.579665667414,1022.3588739760528,1057.5700519826385
417,1046.5200117782174,1022.2822809379356,1057.513119719612
418,1046.460357889021,1022.2056878998192,1057.4561874565845
419,1046.4007039998248,1022.1290948617017,1057.399255193557
420,1046.3410501106287,1022.0525018235854,1057.342322930528
421,1046.2813962214325,1021.9759087854682,1057.2853906675018
422,1046.2217423322363,1021.8993157473516,1057.2284584044744
423,1046.1620884430401,1021.8227227092343,1057.1715261414467
424,1046.1024345538438,1021.7461296711177,1057.114593878421
425,1046.0427806646476,1021.6695366330009,1057.0576616153933
426,1045.9831267754512,1021.5929435948849,1057.0007293523656
427,1045.923472886255,1021.5163505567668,1056.9437970893375
428,1045.8638189970586,1021.4397575186501,1056.8868648263103
429,1045.8028300794797,1021.3631086263355,1056.8298721117
430,1045.7418411619,1021.2864597340213,1056.772879397091
431,1045.6808522443202,1021.2098108417055,1056.7158866824802
