% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:12"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,24300,2173.0193859423935,2671.2147087403637,2492.0397476745575,2472.0227473812893,2672.0089331217505,0.06464362929099138,32.20515376145771
72,10,24480,2173.018528323958,2671.1268425911,2490.6989324173815,2470.681946140734,2671.9557164903144,0.06465502657032779,32.20520629384321
72,10,24660,2173.017799391636,2671.0352551593683,2489.358116412121,2469.341150580605,2671.9000037569845,0.06466697206679788,32.20528090090969
72,10,24840,2173.017188169757,2670.9402796104528,2488.0173020924567,2468.0003791512136,2671.8420086147275,0.06467920972613499,32.20527205877823
72,10,25020,2173.0166279849946,2670.841860771099,2486.6764916555553,2466.6596421480285,2671.7816848315374,0.06469180262150837,32.20521169940516
72,10,25200,2173.0160039915954,2670.739163422284,2485.335678564955,2465.3188455731356,2671.7184628211703,0.06470534233308606,32.20534741806784
72,10,25380,2173.0153153024094,2670.632738704819,2483.9948654347936,2463.978062096059,2671.6527018737693,0.06471917193822815,32.2053875846386
72,10,25560,2173.0146323659897,2670.5225671300495,2482.6540561858756,2462.63733569958,2671.584376658009,0.0647332954421759,32.20532812590867
72,10,25740,2173.0140765208816,2670.4077436604084,2481.313244325265,2461.2965467342947,2671.512863961397,0.06474843011783475,32.20545909783721
72,10,25920,2173.013628691283,2670.288871192147,2479.9724326176975,2459.955760921213,2671.438562225312,0.06476389120703059,32.20547970527574
72,10,26100,2173.0132139420616,2670.165932242729,2478.631625138497,2458.615029047016,2671.3614468683336,0.06477968057903515,32.205394290516274
72,10,26280,2173.0126452144946,2670.0377596497347,2477.2908087484425,2457.2741653591975,2671.2807104970257,0.0647968032790857,32.20563856482531
72,10,26460,2173.012037873973,2669.9052644908,2475.9499926548815,2455.9333550628603,2671.196960693157,0.06481405361794533,32.205664232336865
72,10,26640,2173.011665036764,2669.7676001122777,2474.6091721713583,2454.592523748548,2671.109599340117,0.06483220457739677,32.20578240785172
72,10,26820,2173.011258897824,2669.624861829918,2473.2683514440487,2453.251730151863,2671.018675452145,0.0648508613210046,32.205819893873624
72,10,27000,2173.0107994420478,2669.4778072850213,2471.927539300086,2451.911041675894,2670.9247042164334,0.06486965594116553,32.20564398491359
72,10,27180,2173.0103636785684,2669.326048478807,2470.586735729903,2450.570393865814,2670.827408994583,0.06488912950848189,32.205492748093526
72,10,27360,2173.0099716526665,2669.1691365243387,2469.2459365301297,2449.229714877847,2670.7264688475657,0.06490952979135176,32.205458093490044
