hours,max_ff,time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right_T,mass_flow,SOC,power
5,2,46800.0,2673,2672.8265375859555,2672.9119803534386,2672.9674101480355,2672.559292865783,0.4895396221031689,1.0092980960855331,21.059347705868586
5,2,46980.0,2673,2672.833269840662,2672.915460831081,2672.9687436600266,2672.5757510259273,0.4895396221031697,1.009305126369677,20.24201276048198
5,2,47160.0,2673,2672.839746721086,2672.918806346893,2672.970023601936,2672.5916112888945,0.489539622103171,1.0093118836790986,19.455681740868542
5,2,47340.0,2673,2672.845977643393,2672.92202202432,2672.9712520892385,2672.606894664696,0.4895396221031704,1.0093183783741337,18.69921146972564
5,2,47520.0,2673,2672.851971718745,2672.9251127968546,2672.972431155143,2672.6216214557503,0.4895396221031706,1.009324620432239,17.971495798798752
5,2,47700.0,2673,2672.8577377108772,2672.928083415603,2672.9735627568475,2672.635811279025,0.4895396221031706,1.0093306194614764,17.271470759657966
5,2,47880.0,2673,2672.863284096277,2672.930938455191,2672.9746487739358,2672.6494830883425,0.4895396221031697,1.0093363847136283,16.59810725734196
5,2,48060.0,2673,2672.868619025048,2672.9336823207527,2672.9756910141737,2672.662655195055,0.4895396221031695,1.0093419250968778,15.95041582175316
5,2,48240.0,2673,2672.873750389236,2672.936319252981,2672.976691211289,2672.6753452889693,0.4895396221031695,1.009347249187888,15.327438312508624
5,2,48420.0,2673,2672.8786857530013,2672.938853335163,2672.977651034834,2672.6875704583263,0.4895396221031707,1.0093523652439107,14.728256396610005
5,2,48600.0,2673,2672.8834324235804,2672.941288498023,2672.978572087231,2672.6993472100016,0.4895396221031699,1.0093572812148701,14.151982932861523
5,2,48780.0,2673,2672.887997426945,2672.94362852617,2672.979455910589,2672.7106914879114,0.4895396221031699,1.0093620047544867,13.597764927427699
5,2,48960.0,2673,2672.892387560719,2672.945877062565,2672.980303986008,2672.721618691293,0.4895396221031702,1.009366543230808,13.064777109109105
5,2,49140.0,2673,2672.896609361756,2672.9480376143038,2672.9811177386723,2672.732143691874,0.4895396221031706,1.0093709037363168,12.552225865797814
5,2,49320.0,2673,2672.9006691670684,2672.950113556456,2672.9818985338698,2672.742280851151,0.4895396221031696,1.0093750930974492,12.059341847302454
5,2,49500.0,2673,2672.904573033197,2672.952108138083,2672.982647685396,2672.75204403655,0.4895396221031699,1.0093791178845213,11.58538975428658
