% Model,tin_tegs_model_4_constin.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 4 2024, 18:19"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51"
4370,516.9128966919822,500,518.104174065668
4371,516.9044313605352,500,518.0950015599348
4372,516.8959660290881,500,518.0858290542013
4373,516.887500697641,500,518.0766565484681
4374,516.8790353661939,500,518.0674840427347
4375,516.870570034747,500,518.0583115370015
4376,516.8621047033,500,518.0491390312682
4377,516.8536393718528,500,518.0399665255349
4378,516.8451740404058,500,518.0307940198015
4379,516.8367087089587,500,518.0216215140681
4380,516.8282433775116,500,518.0124490083349
4381,516.8197780460647,500,518.0032765026015
4382,516.8113127146173,500,517.9941039968683
4383,516.8028473831703,500,517.9849314911348
4384,516.7943820517237,500,517.9757589854016
4385,516.7859167202764,500,517.9665864796682
4386,516.777451388829,500,517.957413973935
4387,516.7689860573821,500,517.9482414682016
4388,516.7605207259347,500,517.9390689624684
4389,516.7520553944881,500,517.9298964567349
4390,516.7435900630408,500,517.9207239510016
4391,516.7351247315937,500,517.9115514452683
4392,516.7266594001468,500,517.902378939535
4393,516.7181940686997,500,517.8932064338017
4394,516.7097287372525,500,517.8840339280683
4395,516.7012634058054,500,517.874861422335
4396,516.6927980743584,500,517.8656889166017
4397,516.6843327429117,500,517.8565164108683
4398,516.6758674114645,500,517.8473439051351
4399,516.6674020800174,500,517.8381713994016
4400,516.6589367485703,500,517.8289988936684
4401,516.650471417123,500,517.819826387935
4402,516.6420060856763,500,517.8106538822018
4403,516.6335407542291,500,517.8014813764684
4404,516.6250754227821,500,517.7923088707352
4405,516.6166100913348,500,517.7831363650017
4406,516.6081447598878,500,517.7739638592685
4407,516.5996794284408,500,517.7647913535351
4408,516.5912140969938,500,517.7556188478019
4409,516.5827487655464,500,517.7464463420685
4410,516.5742834340998,500,517.7372738363351
4411,516.5658181026523,500,517.7281013306018
4412,516.5573527712054,500,517.7189288248685
4413,516.5488874397583,500,517.7097563191352
4414,516.5404221083115,500,517.7005838134019
4415,516.5319567768644,500,517.6914113076685
4416,516.5234914454171,500,517.6822388019352
4417,516.5150261139702,500,517.6730662962018
4418,516.5065607825228,500,517.6638937904686
4419,516.498095451076,500,517.6547212847352
4420,516.4896301196287,500,517.645548779002
4421,516.4811647881818,500,517.6363762732685
4422,516.4726994567346,500,517.6272037675353
4423,516.4642341252876,500,517.6180312618019
4424,516.4557687938407,500,517.6088587560687
4425,516.4473034623936,500,517.5996862503353
4426,516.4388381309467,500,517.590513744602
4427,516.4303727994992,500,517.5813412388686
4428,516.4219074680525,500,517.5721687331353
4429,516.4134421366051,500,517.562996227402
4430,516.4049768051583,500,517.5538237216687
4431,516.3965114737113,500,517.5446512159353
4432,516.3880461422638,500,517.535478710202
4433,516.3795808108168,500,517.5263062044687
4434,516.3711154793698,500,517.5171336987354
4435,516.3626501479229,500,517.5079611930022
4436,516.3541848164759,500,517.4987886872688
4437,516.3457194850287,500,517.4896161815356
4438,516.3372541535815,500,517.4804436758021
4439,516.3287888221346,500,517.4712711700688
4440,516.3203234906874,500,517.4620986643355
4441,516.3118581592404,500,517.4529261586022
4442,516.3033928277931,500,517.4437536528688
4443,516.2949274963463,500,517.4345811471355
4444,516.2864621648993,500,517.4254086414022
4445,516.2779968334522,500,517.4162361356689
4446,516.2695315020051,500,517.4070636299356
4447,516.2610661705581,500,517.3978911242023
4448,516.2526008391111,500,517.3887186184688
4449,516.244135507664,500,517.3795461127356
4450,516.2356701762167,500,517.3703736070022
4451,516.2272048447699,500,517.361201101269
4452,516.2187395133227,500,517.3520285955356
4453,516.2102741818753,500,517.3428560898024
4454,516.2018088504285,500,517.3336835840689
4455,516.1933435189817,500,517.3245110783357
4456,516.1848781875344,500,517.3153385726023
4457,516.1764128560874,500,517.3061660668691
4458,516.1679475246403,500,517.2969935611357
4459,516.1594821931932,500,517.2878210554023
4460,516.1510168617463,500,517.278648549669
4461,516.1425515302992,500,517.2694760439357
4462,516.1340861988521,500,517.2603035382024
4463,516.1256208674047,500,517.2511310324691
4464,516.1171555359579,500,517.2419585267357
4465,516.1086902045109,500,517.2327860210024
4466,516.1002248730637,500,517.2236135152691
4467,516.0917595416166,500,517.2144410095358
4468,516.0832942101696,500,517.2052685038024
4469,516.0748288787225,500,517.1960959980692
4470,516.0663635472754,500,517.1869234923357
4471,516.0578982158285,500,517.1777509866025
4472,516.0494328843813,500,517.1685784808691
4473,516.040967552934,500,517.1594059751359
4474,516.0325022214873,500,517.1502334694025
4475,516.0240368900401,500,517.1410609636692
4476,516.0155715585933,500,517.1318884579358
4477,516.0071062271461,500,517.1227159522026
4478,515.9986408956988,500,517.1135434464692
4479,515.9901755642518,500,517.1043709407359
4480,515.9817102328049,500,517.0951984350025
4481,515.9732449013577,500,517.0860259292692
4482,515.9647795699107,500,517.0768534235359
4483,515.9563142384634,500,517.0676809178026
4484,515.9478489070166,500,517.0585084120693
4485,515.9393835755697,500,517.049335906336
4486,515.9309182441223,500,517.0401634006026
4487,515.9224529126752,500,517.0309908948693
4488,515.9139875812283,500,517.0218183891359
4489,515.9055222497813,500,517.0126458834027
4490,515.8970569183342,500,517.0034733776693
4491,515.8885915868873,500,516.994300871936
4492,515.8801262554402,500,516.9851283662026
4493,515.8716609239926,500,516.9759558604694
4494,515.8631955925459,500,516.9667833547361
4495,515.8547302610986,500,516.9576108490028
4496,515.8462649296517,500,516.9484383432695
4497,515.8377995982046,500,516.9392658375361
4498,515.8293342667574,500,516.9300933318028
4499,515.8208689353104,500,516.9209208260694
4500,515.8124036038633,500,516.9117483203362
4501,515.8039382724163,500,516.9025758146028
4502,515.7954729409691,500,516.8934033088696
4503,515.7870076095223,500,516.8842308031361
4504,515.7785422780751,500,516.8750582974029
4505,515.7700769466279,500,516.8658857916695
4506,515.7616116151809,500,516.8567132859363
4507,515.7531462837343,500,516.8475407802028
4508,515.7446809522867,500,516.8383682744696
4509,515.7362156208397,500,516.8291957687362
4510,515.7277502893926,500,516.8200232630029
4511,515.7192849579458,500,516.8108507572696
4512,515.7108196264986,500,516.8016782515363
4513,515.7023542950515,500,516.7925057458029
4514,515.6938889636046,500,516.7833332400696
4515,515.6854236321575,500,516.7741607343363
4516,515.6769583007103,500,516.764988228603
4517,515.6684929692633,500,516.7558157228697
4518,515.660713123834,500,516.7473764224222
4519,515.6540086513461,500,516.7400873556844
4520,515.6473041788585,500,516.7327982889466
4521,515.6405997063704,500,516.7255092222088
4522,515.6338952338826,500,516.7182201554708
4523,515.6271907613949,500,516.7109310887331
4524,515.6204862889073,500,516.7036420219952
4525,515.6137818164193,500,516.6963529552573
4526,515.6070773439316,500,516.6890638885195
4527,515.6003728714435,500,516.6817748217817
4528,515.5936683989557,500,516.6744857550437
4529,515.5869639264683,500,516.667196688306
4530,515.5802594539803,500,516.6599076215682
4531,515.5735549814923,500,516.6526185548303
4532,515.5668505090048,500,516.6453294880926
4533,515.5601460365167,500,516.6380404213546
4534,515.5534415640292,500,516.6307513546168
4535,515.5467370915411,500,516.623462287879
4536,515.5400326190535,500,516.6161732211411
4537,515.5333281465659,500,516.6088841544032
4538,515.526623674078,500,516.6015950876655
4539,515.51991920159,500,516.5943060209275
4540,515.5132147291023,500,516.5870169541897
4541,515.5065102566149,500,516.5797278874518
4542,515.4998057841268,500,516.5724388207141
4543,515.4931013116391,500,516.5651497539761
4544,515.4863968391512,500,516.5578606872383
4545,515.4796923666635,500,516.5505716205006
4546,515.4729878941758,500,516.5432825537627
4547,515.4662834216876,500,516.5359934870248
4548,515.4595789491997,500,516.528704420287
4549,515.4528744767123,500,516.5214153535492
4550,515.4461700042247,500,516.5141262868112
4551,515.4394655317368,500,516.5068372200735
