% Model,,,,,,,,,,,
% Version,,,,,,,,,,,
% Date,,,,,,,,,,,
% Table,,,,,,,,,,,
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,892.8000000000001,2673.0000000000014,2178.732663069249,2283.6138282925303,2672.9999999999955,2178.6795438079535,2673.0000000000023,2178.6263609974703,2244.8120298560902,2216.9721170934054,2174.0824234887054
4,900,2673.0000000000014,2178.788155672511,2284.3793429005364,2672.9999999999955,2178.733428549488,2673.0000000000023,2178.6790772506633,2245.3793629103347,2217.3634039545254,2174.1009674274205
4,907.2,2673.0000000000014,2178.840405914555,2285.1432107371716,2672.9999999999955,2178.787467495239,2673.0000000000023,2178.7354107068422,2245.9461826878883,2217.754777283393,2174.119625521029
4,914.4,2673.0000000000014,2178.8881238402146,2285.9054229119884,2672.9999999999955,2178.839514814767,2673.0000000000023,2178.792074803465,2246.512475093896,2218.1461890569876,2174.1383854919554
4,921.6,2673.0000000000014,2178.9324222452187,2286.6659916516355,2672.9999999999955,2178.8884621959305,2673.0000000000023,2178.8454219840096,2247.078247465185,2218.537633260013,2174.157247684427
4,928.8000000000001,2673.0000000000014,2178.9756032953437,2287.424933683675,2672.9999999999955,2178.9347163469315,2673.0000000000023,2178.894101240376,2247.643460677002,2218.929146253655,2174.176220907419
4,936,2673.0000000000014,2179.021347296727,2288.182249669182,2672.9999999999955,2178.9801010548563,2673.0000000000023,2178.9384357508115,2248.208112940111,2219.3207499307427,2174.1953223823884
4,943.2,2673.0000000000014,2179.0717707523318,2288.9379379504244,2672.9999999999955,2179.0268627117302,2673.0000000000023,2178.981300404179,2248.7722294934856,2219.7124728568783,2174.2145673755967
4,950.4,2673.0000000000014,2179.127242485868,2289.692009764125,2672.9999999999955,2179.076761577111,2673.0000000000023,2179.0259906981005,2249.335836388835,2220.104269406494,2174.233962128606
4,957.6,2673.0000000000014,2179.1846082137045,2290.4444517541674,2672.9999999999955,2179.1299684088763,2673.0000000000023,2179.075604699203,2249.8989215414394,2220.496101540197,2174.253503342554
